KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1651  277.59   68.11    0.00    0.00  1   6.404   6.404   0.000
4017  302.21   47.62    0.31    0.00  3  10.932   6.516   4.416
1491  273.88   70.12    0.00    0.00  1   6.381   6.381   0.000
1164  278.96   80.41    1.86    0.12  11   9.192   6.630   2.562
1456  292.07   66.63    0.00    0.00  1   6.361   6.361   0.000
1135  278.27   77.60    0.42    0.30  9   9.065   6.053   3.012
1355  239.85   73.85    0.14    0.64  2  11.882   6.528   5.354
1257  240.73   75.67    0.00    0.00  1   6.772   6.772   0.000
1426  285.12   71.38    0.88    0.32  8   9.701   6.126   3.575
1239  260.68   76.31    3.23    0.63  26  10.823   6.324   4.499
4016  304.19   47.89    0.03    0.04  4   9.031   6.877   2.154
1659  274.23   68.27    0.00    0.00  1   6.606   6.606   0.000
1655  274.71   69.69    0.24    0.09  4   9.625   6.448   3.177
1139  280.97   75.88    0.04    0.02  9   9.865   6.836   3.029
1658  275.43   68.87    0.57    0.27  3   7.478   6.727   0.751
1649  273.92   66.56    1.52    0.34  5   7.555   7.119   0.436
1161  279.00   79.66    1.25    0.18  8   9.007   7.722   1.285
1401  272.96   73.78    0.21    0.08  8  10.575   7.670   2.905
1641  271.73   54.48    0.00    0.00  1   7.980   7.980   0.000
4029  295.77   49.84    0.36    0.22  12  16.423   7.316   9.107
1155  275.09   78.18    1.87    0.43  8   9.415   7.739   1.676
1417  278.78   72.31    0.11    0.07  4   8.335   7.427   0.908
4035  288.62   48.46    1.59    0.30  15  10.609   7.836   2.773
1187  268.28   79.35    0.74    0.07  5   8.969   7.666   1.303
1143  275.47   76.72    0.00    0.00  1   7.866   7.866   0.000
4018  301.47   47.68    0.41    0.14  2  12.836   7.249   5.587
1448  295.00   67.38    0.00    0.00  1   7.087   7.087   0.000
1441  291.35   68.71    0.00    0.00  3  10.360   7.643   2.717
4044  286.07   45.59    0.51    0.20  17  13.078   7.608   5.470
4031  293.60   50.23    1.34    0.60  30  12.176   7.379   4.797
1127  285.01   79.52    0.02    0.03  2   7.901   7.682   0.219
1432  291.30   69.95    0.43    0.18  5   9.118   7.327   1.791
4039  284.33   45.49    1.04    0.43  34  13.437   7.132   6.305
1237  261.17   75.26    1.75    0.75  9   9.802   7.107   2.695
4047  287.66   45.97    1.33    0.74  17  13.451   7.747   5.704
1627  280.00   62.00    0.00    0.00  1   7.722   7.722   0.000
1138  280.36   76.31    0.85    0.15  2   9.997   7.234   2.763
4036  289.61   47.49    0.27    0.29  8  12.948   7.152   5.796
1467  282.25   63.95    0.00    0.00  1   7.931   7.931   0.000
1169  275.67   80.52    0.00    0.00  1   7.893   7.893   0.000
4055  294.24   49.22    0.54    0.07  36  15.691   7.381   8.310
1165  281.06   80.60    1.20    0.00  4   9.687   7.819   1.868
1351  249.46   72.75    2.10    0.56  4  13.404   7.672   5.732
4096  288.54   41.46    0.00    0.00  1   7.084   7.084   0.000
1102  275.10   81.91    1.69    0.21  15   9.117   7.583   1.534
1236  263.11   75.37    0.34    0.06  6   9.886   7.719   2.167
1156  273.86   78.27    1.65    0.28  12   9.405   7.613   1.792
1501  271.35   71.31    0.36    0.02  2   8.752   7.162   1.590
1650  277.83   67.87    0.01    0.01  2   7.472   7.079   0.393
1104  274.04   82.25    1.25    0.13  5   9.754   7.853   1.901
1436  291.85   69.30    0.07    0.02  4  10.045   7.838   2.207
